composite_error,center_error,pva_magnitude,circular_std,cwce,angular_Zscore,nmse,error_message,g_cosine,glob_inh,w_inh
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,False,
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.95190381 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-2. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.9488978 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.94589178 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.98797595 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.96092184 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.99398798 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.93987976 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.97294589 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.99098196 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.9759519 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.98496994 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.94288577 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.96392786 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.99699399 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.96693387 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.97895792 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.98196393 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.95490982 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.93386774 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.93086172 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.95791583 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.93687375 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.92785571 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.96993988 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.92184369 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.9248497 mV
